Unnamed: 0,Economy_Label,CommercialMarket_Label,Average_age_of_vessels_years_Value,Average_age_of_vessels_years_MissingValue,Median_time_in_port_days_Value,Median_time_in_port_days_MissingValue,Average_size_GT_of_vessels_Value,Average_size_GT_of_vessels_MissingValue,Average_cargo_carrying_capacity_dwt_per_vessel_Value,Average_cargo_carrying_capacity_dwt_per_vessel_MissingValue,Average_container_carrying_capacity_TEU_per_container_ship_Value,Average_container_carrying_capacity_TEU_per_container_ship_MissingValue,Maximum_size_GT_of_vessels_Value,Maximum_size_GT_of_vessels_MissingValue,Maximum_cargo_carrying_capacity_dwt_of_vessels_Value,Maximum_cargo_carrying_capacity_dwt_of_vessels_MissingValue,Maximum_container_carrying_capacity_TEU_of_container_ships_Value,Maximum_container_carrying_capacity_TEU_of_container_ships_MissingValue,period
699,Japan,Liquefied petroleum gas carriers,12,,0.37,,6774,,7425.0,,,Not available or not separately reported,54634,,58811.0,,,Not available or not separately reported,2023-S2
700,Japan,Liquefied natural gas carriers,14,,1.01,,68572,,49422.0,,,Not available or not separately reported,163922,,130442.0,,,Not available or not separately reported,2023-S2
701,Japan,Dry bulk carriers,14,,0.87,,16946,,29218.0,,,Not available or not separately reported,161294,,327017.0,,,Not available or not separately reported,2023-S2
702,Japan,Dry breakbulk carriers,14,,1.11,,6863,,9105.0,,,Not available or not separately reported,49903,,80500.0,,,Not available or not separately reported,2023-S2
703,Japan,Roll-on/ roll-off ships,12,,,Not available or not separately reported,17131,,7405.0,,,Not available or not separately reported,77644,,43878.0,,,Not available or not separately reported,2023-S2
704,Japan,Container ships,12,,0.35,,16887,,,Not available or not separately reported,1649.0,,236500,,,Not available or not separately reported,15500.0,,2023-S2
705,Japan,Passenger ships,15,,,Not available or not separately reported,5485,,,Not available or not separately reported,,Not available or not separately reported,171598,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
706,"Korea, Republic of",All ships,15,,0.86,,20044,,22011.0,,3038.0,,236583,,326932.0,,24000.0,,2023-S2
707,"Korea, Republic of",Liquid bulk carriers,13,,0.75,,13847,,23871.0,,,Not available or not separately reported,167578,,323514.0,,,Not available or not separately reported,2023-S2
708,"Korea, Republic of",Liquefied petroleum gas carriers,14,,0.89,,8800,,9632.0,,,Not available or not separately reported,54696,,62500.0,,,Not available or not separately reported,2023-S2
709,"Korea, Republic of",Liquefied natural gas carriers,12,,1.03,,107652,,84181.0,,,Not available or not separately reported,168189,,154940.0,,,Not available or not separately reported,2023-S2
710,"Korea, Republic of",Dry bulk carriers,13,,2.67,,33933,,61335.0,,,Not available or not separately reported,161294,,326932.0,,,Not available or not separately reported,2023-S2
711,"Korea, Republic of",Dry breakbulk carriers,19,,1.19,,5444,,7918.0,,,Not available or not separately reported,66870,,80344.0,,,Not available or not separately reported,2023-S2
712,"Korea, Republic of",Roll-on/ roll-off ships,21,,,Not available or not separately reported,28960,,11775.0,,,Not available or not separately reported,89797,,47528.0,,,Not available or not separately reported,2023-S2
713,"Korea, Republic of",Container ships,14,,0.66,,32824,,,Not available or not separately reported,3038.0,,236583,,,Not available or not separately reported,24000.0,,2023-S2
714,"Korea, Republic of",Passenger ships,11,,,Not available or not separately reported,15949,,,Not available or not separately reported,,Not available or not separately reported,171598,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
715,Netherlands (Kingdom of the),All ships,19,,0.55,,12607,,14802.0,,3240.0,,237000,,324922.0,,24116.0,,2023-S2
716,Netherlands (Kingdom of the),Liquid bulk carriers,17,,0.54,,8961,,17623.0,,,Not available or not separately reported,170611,,323182.0,,,Not available or not separately reported,2023-S2
717,Netherlands (Kingdom of the),Liquefied petroleum gas carriers,15,,1.06,,6545,,7234.0,,,Not available or not separately reported,50400,,58263.0,,,Not available or not separately reported,2023-S2
718,Netherlands (Kingdom of the),Liquefied natural gas carriers,8,,1.04,,76920,,59907.0,,,Not available or not separately reported,163922,,130059.0,,,Not available or not separately reported,2023-S2
719,Netherlands (Kingdom of the),Dry bulk carriers,12,,1.29,,36495,,65148.0,,,Not available or not separately reported,173712,,324922.0,,,Not available or not separately reported,2023-S2
720,Netherlands (Kingdom of the),Dry breakbulk carriers,25,,0.38,,3824,,5621.0,,,Not available or not separately reported,84503,,98370.0,,,Not available or not separately reported,2023-S2
721,Netherlands (Kingdom of the),Roll-on/ roll-off ships,24,,,Not available or not separately reported,19564,,7522.0,,,Not available or not separately reported,89797,,48988.0,,,Not available or not separately reported,2023-S2
722,Netherlands (Kingdom of the),Container ships,16,,0.8,,35431,,,Not available or not separately reported,3240.0,,237000,,,Not available or not separately reported,24116.0,,2023-S2
723,Netherlands (Kingdom of the),Passenger ships,16,,,Not available or not separately reported,14407,,,Not available or not separately reported,,Not available or not separately reported,206285,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
724,Norway,All ships,14,,0.43,,3924,,7685.0,,803.0,,184089,,318689.0,,2474.0,,2023-S2
725,Norway,Liquid bulk carriers,16,,0.68,,11867,,19301.0,,,Not available or not separately reported,166639,,318689.0,,,Not available or not separately reported,2023-S2
726,Norway,Liquefied petroleum gas carriers,11,,0.73,,6482,,6903.0,,,Not available or not separately reported,37366,,42543.0,,,Not available or not separately reported,2023-S2
727,Norway,Liquefied natural gas carriers,16,,0.33,,21539,,15842.0,,,Not available or not separately reported,121597,,95289.0,,,Not available or not separately reported,2023-S2
728,Norway,Dry bulk carriers,15,,0.86,,18868,,31176.0,,,Not available or not separately reported,109768,,209260.0,,,Not available or not separately reported,2023-S2
729,Norway,Dry breakbulk carriers,24,,0.35,,2968,,3584.0,,,Not available or not separately reported,84503,,98370.0,,,Not available or not separately reported,2023-S2
730,Norway,Roll-on/ roll-off ships,19,,,Not available or not separately reported,10538,,6514.0,,,Not available or not separately reported,64575,,24000.0,,,Not available or not separately reported,2023-S2
731,Norway,Container ships,18,,0.3,,8582,,,Not available or not separately reported,803.0,,25756,,,Not available or not separately reported,2474.0,,2023-S2
732,Norway,Passenger ships,14,,,Not available or not separately reported,3800,,,Not available or not separately reported,,Not available or not separately reported,184089,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
733,Philippines,All ships,17,,0.84,,6909,,10532.0,,1808.0,,151094,,297442.0,,7092.0,,2023-S2
734,Philippines,Liquid bulk carriers,12,,0.81,,5839,,9304.0,,,Not available or not separately reported,65552,,114644.0,,,Not available or not separately reported,2023-S2
735,Philippines,Liquefied petroleum gas carriers,16,,0.7,,7036,,7965.0,,,Not available or not separately reported,54696,,58811.0,,,Not available or not separately reported,2023-S2
736,Philippines,Dry bulk carriers,14,,4.78,,27301,,48087.0,,,Not available or not separately reported,151094,,297442.0,,,Not available or not separately reported,2023-S2
737,Philippines,Dry breakbulk carriers,18,,0.73,,3682,,4876.0,,,Not available or not separately reported,36008,,55777.0,,,Not available or not separately reported,2023-S2
738,Philippines,Roll-on/ roll-off ships,27,,,Not available or not separately reported,20117,,8595.0,,,Not available or not separately reported,70826,,30401.0,,,Not available or not separately reported,2023-S2
739,Philippines,Container ships,15,,0.84,,19266,,,Not available or not separately reported,1808.0,,73172,,,Not available or not separately reported,7092.0,,2023-S2
740,Philippines,Passenger ships,18,,,Not available or not separately reported,3627,,,Not available or not separately reported,,Not available or not separately reported,93502,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
741,Russian Federation,All ships,26,,1.48,,11755,,18133.0,,1325.0,,128975,,206204.0,,4843.0,,2023-S2
742,Russian Federation,Liquid bulk carriers,24,,1.12,,15215,,26243.0,,,Not available or not separately reported,87146,,166467.0,,,Not available or not separately reported,2023-S2
743,Russian Federation,Liquefied petroleum gas carriers,20,,2.64,,14404,,17244.0,,,Not available or not separately reported,26515,,38427.0,,,Not available or not separately reported,2023-S2
744,Russian Federation,Liquefied natural gas carriers,11,,1.13,,100135,,72662.0,,,Not available or not separately reported,128975,,97000.0,,,Not available or not separately reported,2023-S2
745,Russian Federation,Dry bulk carriers,18,,2.83,,26862,,47020.0,,,Not available or not separately reported,104732,,206204.0,,,Not available or not separately reported,2023-S2
746,Russian Federation,Dry breakbulk carriers,31,,1.71,,4478,,5999.0,,,Not available or not separately reported,48292,,72562.0,,,Not available or not separately reported,2023-S2
747,Russian Federation,Roll-on/ roll-off ships,31,,,Not available or not separately reported,9631,,5372.0,,,Not available or not separately reported,20729,,11942.0,,,Not available or not separately reported,2023-S2
748,Russian Federation,Container ships,18,,1.6,,13841,,,Not available or not separately reported,1325.0,,54519,,,Not available or not separately reported,4843.0,,2023-S2
749,Russian Federation,Passenger ships,27,,,Not available or not separately reported,8933,,,Not available or not separately reported,,Not available or not separately reported,38557,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
750,Singapore,All ships,12,,0.72,,26358,,16887.0,,5382.0,,237000,,321300.0,,24116.0,,2023-S2
751,Singapore,Liquid bulk carriers,11,,0.63,,10178,,16866.0,,,Not available or not separately reported,170611,,321300.0,,,Not available or not separately reported,2023-S2
752,Singapore,Liquefied petroleum gas carriers,12,,1.07,,10013,,11382.0,,,Not available or not separately reported,52666,,58899.0,,,Not available or not separately reported,2023-S2
753,Singapore,Liquefied natural gas carriers,11,,1.07,,101617,,79783.0,,,Not available or not separately reported,163922,,130211.0,,,Not available or not separately reported,2023-S2
754,Singapore,Dry bulk carriers,15,,1.0,,12771,,21093.0,,,Not available or not separately reported,107741,,209801.0,,,Not available or not separately reported,2023-S2
755,Singapore,Dry breakbulk carriers,17,,0.75,,7832,,10516.0,,,Not available or not separately reported,38519,,55449.0,,,Not available or not separately reported,2023-S2
756,Singapore,Roll-on/ roll-off ships,16,,,Not available or not separately reported,52592,,17214.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2023-S2
757,Singapore,Container ships,14,,0.86,,58224,,,Not available or not separately reported,5382.0,,237000,,,Not available or not separately reported,24116.0,,2023-S2
758,Singapore,Passenger ships,11,,,Not available or not separately reported,123954,,,Not available or not separately reported,,Not available or not separately reported,169379,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
759,Spain,All ships,18,,0.85,,17561,,16489.0,,3187.0,,237000,,307341.0,,24116.0,,2023-S2
760,Spain,Liquid bulk carriers,13,,0.86,,11869,,19630.0,,,Not available or not separately reported,163209,,307341.0,,,Not available or not separately reported,2023-S2
761,Spain,Liquefied petroleum gas carriers,13,,1.04,,7361,,8257.0,,,Not available or not separately reported,57494,,59138.0,,,Not available or not separately reported,2023-S2
762,Spain,Liquefied natural gas carriers,11,,1.03,,96447,,75098.0,,,Not available or not separately reported,141671,,107160.0,,,Not available or not separately reported,2023-S2
763,Spain,Dry bulk carriers,16,,2.13,,24082,,41311.0,,,Not available or not separately reported,107567,,208263.0,,,Not available or not separately reported,2023-S2
764,Spain,Dry breakbulk carriers,17,,1.29,,5419,,7600.0,,,Not available or not separately reported,66870,,71954.0,,,Not available or not separately reported,2023-S2
765,Spain,Roll-on/ roll-off ships,12,,,Not available or not separately reported,26258,,9067.0,,,Not available or not separately reported,89797,,48988.0,,,Not available or not separately reported,2023-S2
766,Spain,Container ships,17,,0.59,,35144,,,Not available or not separately reported,3187.0,,237000,,,Not available or not separately reported,24116.0,,2023-S2
767,Spain,Passenger ships,19,,,Not available or not separately reported,15679,,,Not available or not separately reported,,Not available or not separately reported,232000,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
768,Sweden,All ships,23,,0.84,,17932,,9177.0,,1756.0,,214286,,318000.0,,19630.0,,2023-S2
769,Sweden,Liquid bulk carriers,15,,0.66,,8573,,12783.0,,,Not available or not separately reported,162761,,318000.0,,,Not available or not separately reported,2023-S2
770,Sweden,Liquefied petroleum gas carriers,13,,0.92,,8001,,8654.0,,,Not available or not separately reported,54000,,62500.0,,,Not available or not separately reported,2023-S2
771,Sweden,Dry bulk carriers,18,,0.64,,8248,,13351.0,,,Not available or not separately reported,44616,,82219.0,,,Not available or not separately reported,2023-S2
772,Sweden,Dry breakbulk carriers,21,,1.13,,3836,,5473.0,,,Not available or not separately reported,39433,,61250.0,,,Not available or not separately reported,2023-S2
773,Sweden,Roll-on/ roll-off ships,18,,,Not available or not separately reported,32353,,12980.0,,,Not available or not separately reported,76420,,38500.0,,,Not available or not separately reported,2023-S2
774,Sweden,Container ships,18,,0.64,,19056,,,Not available or not separately reported,1756.0,,214286,,,Not available or not separately reported,19630.0,,2023-S2
775,Sweden,Passenger ships,25,,,Not available or not separately reported,22022,,,Not available or not separately reported,,Not available or not separately reported,145000,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
776,Turkiye,All ships,24,,1.2,,6703,,17992.0,,2824.0,,236080,,297541.0,,19462.0,,2023-S2
777,Turkiye,Liquid bulk carriers,15,,1.32,,19505,,33018.0,,,Not available or not separately reported,86952,,166467.0,,,Not available or not separately reported,2023-S2
778,Turkiye,Liquefied petroleum gas carriers,19,,1.35,,17144,,20169.0,,,Not available or not separately reported,50676,,54857.0,,,Not available or not separately reported,2023-S2
779,Turkiye,Liquefied natural gas carriers,9,,1.3,,109109,,88098.0,,,Not available or not separately reported,122142,,98954.0,,,Not available or not separately reported,2023-S2
780,Turkiye,Dry bulk carriers,17,,3.41,,24459,,42236.0,,,Not available or not separately reported,150918,,297541.0,,,Not available or not separately reported,2023-S2
781,Turkiye,Dry breakbulk carriers,28,,1.42,,4599,,6489.0,,,Not available or not separately reported,43528,,62053.0,,,Not available or not separately reported,2023-S2
782,Turkiye,Roll-on/ roll-off ships,26,,,Not available or not separately reported,25417,,9920.0,,,Not available or not separately reported,75528,,44574.0,,,Not available or not separately reported,2023-S2
783,Turkiye,Container ships,18,,0.65,,30572,,,Not available or not separately reported,2824.0,,236080,,,Not available or not separately reported,19462.0,,2023-S2
784,Turkiye,Passenger ships,25,,,Not available or not separately reported,2053,,,Not available or not separately reported,,Not available or not separately reported,167704,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
785,United Kingdom,All ships,19,,1.12,,14354,,12518.0,,3554.0,,237000,,320159.0,,24116.0,,2023-S2
786,United Kingdom,Liquid bulk carriers,15,,1.1,,12746,,21077.0,,,Not available or not separately reported,170611,,320159.0,,,Not available or not separately reported,2023-S2
787,United Kingdom,Liquefied petroleum gas carriers,11,,1.07,,6722,,7185.0,,,Not available or not separately reported,26614,,30212.0,,,Not available or not separately reported,2023-S2
788,United Kingdom,Liquefied natural gas carriers,8,,1.26,,76951,,61223.0,,,Not available or not separately reported,163922,,143268.0,,,Not available or not separately reported,2023-S2
789,United Kingdom,Dry bulk carriers,16,,2.6,,23705,,40369.0,,,Not available or not separately reported,93967,,182913.0,,,Not available or not separately reported,2023-S2
790,United Kingdom,Dry breakbulk carriers,19,,1.5,,3572,,4968.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S2
791,United Kingdom,Roll-on/ roll-off ships,16,,,Not available or not separately reported,24482,,9954.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S2
792,United Kingdom,Container ships,17,,0.69,,39759,,,Not available or not separately reported,3554.0,,237000,,,Not available or not separately reported,24116.0,,2023-S2
793,United Kingdom,Passenger ships,20,,,Not available or not separately reported,13028,,,Not available or not separately reported,,Not available or not separately reported,185206,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
794,United States of America,All ships,26,,1.51,,18889,,49634.0,,5799.0,,235600,,323183.0,,19224.0,,2023-S2
795,United States of America,Liquid bulk carriers,12,,1.73,,37271,,64920.0,,,Not available or not separately reported,170611,,323183.0,,,Not available or not separately reported,2023-S2
796,United States of America,Liquefied petroleum gas carriers,9,,1.82,,31440,,35435.0,,,Not available or not separately reported,60784,,63770.0,,,Not available or not separately reported,2023-S2
797,United States of America,Liquefied natural gas carriers,6,,1.34,,106652,,85337.0,,,Not available or not separately reported,149367,,107662.0,,,Not available or not separately reported,2023-S2
798,United States of America,Dry bulk carriers,21,,1.99,,28716,,51829.0,,,Not available or not separately reported,108901,,209854.0,,,Not available or not separately reported,2023-S2
799,United States of America,Dry breakbulk carriers,19,,1.76,,13012,,17200.0,,,Not available or not separately reported,91784,,116173.0,,,Not available or not separately reported,2023-S2
800,United States of America,Roll-on/ roll-off ships,15,,,Not available or not separately reported,59121,,21470.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S2
801,United States of America,Container ships,15,,1.07,,64946,,,Not available or not separately reported,5799.0,,194308,,,Not available or not separately reported,19224.0,,2023-S2
802,United States of America,Passenger ships,30,,,Not available or not separately reported,9880,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
